objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23767E+18,129.2559694,17.92198158,16.60254,15.43807,15.39171,15.40058,15.45965,2.56489E+18,STAR,0.000109156
1.23766E+18,117.4783386,22.54590643,17.88911,16.39103,15.84199,15.64593,15.57203,8.39368E+18,STAR,-7.06E-05
1.23766E+18,167.8728324,39.50384486,19.15379,16.6502,15.53158,15.12687,14.92649,3.21573E+18,STAR,-7.55E-05
1.23766E+18,156.4102479,51.32203727,17.76374,16.90818,16.64046,16.53395,16.51369,7.53693E+18,STAR,-0.00033253
1.23766E+18,232.228797,37.99635664,18.6217,17.79805,17.49856,17.38174,17.37362,5.60587E+18,STAR,-0.000429839
1.23766E+18,329.4940172,-0.3751939,19.07026,18.14777,17.85577,17.71754,17.70735,1.03945E+19,STAR,-9.62E-05
1.23767E+18,205.8424859,28.38091813,18.41317,17.22354,16.94664,16.84727,16.80368,3.26974E+18,STAR,-0.000614808
1.23767E+18,332.2461345,22.52848594,18.77053,16.81576,15.96174,15.6229,15.44069,2.53451E+18,STAR,9.75E-05
1.23768E+18,38.29761424,25.85948121,19.12203,17.71849,17.07124,16.8193,16.68698,2.67864E+18,STAR,-2.18E-05
1.23766E+18,212.585559,53.20039203,18.51121,17.66477,17.3246,17.19822,17.15822,7.80601E+18,STAR,-0.000473668
1.23768E+18,319.7686901,0.62902868,17.84327,16.76938,16.36094,16.19007,16.13216,1.11136E+18,STAR,-0.000151788
1.23765E+18,320.1368514,-8.202666092,19.35274,17.87761,17.03965,16.64888,16.54218,2.59526E+18,STAR,-7.27E-05
1.23767E+18,191.4433981,18.03531133,18.38879,17.45116,17.13254,17.00584,16.99013,6.59344E+18,STAR,0.00027995
1.23767E+18,225.4653765,16.9608884,17.33912,16.02807,15.98109,16.02662,16.13272,3.12775E+18,STAR,0.000210528
1.23767E+18,206.7231693,27.58580676,15.8002,14.86226,14.57505,14.47204,14.47863,3.26965E+18,STAR,-0.000408735
1.23765E+18,47.37749593,-7.092405034,18.53603,17.41358,16.92823,16.71915,16.65213,3.58613E+18,STAR,8.17E-05
1.23765E+18,137.041533,2.352591377,18.14748,17.21646,16.93542,16.80995,16.7832,1.41234E+19,STAR,0.000451851
1.23767E+18,194.1243834,23.22405932,18.61343,17.72155,17.40264,17.29499,17.26227,6.74429E+18,STAR,0.000232603
1.23767E+18,172.2055661,-8.877081371,16.27254,15.23554,14.98966,14.91309,14.94566,3.22123E+18,STAR,9.28E-05
1.23767E+18,218.0494071,28.78464642,19.11134,18.09841,17.72764,17.58215,17.51864,3.81006E+18,STAR,-0.000454244
1.23766E+18,135.7113213,8.852414087,18.3616,17.30494,17.19198,17.20156,17.22721,1.46376E+18,STAR,0.000602748
1.23767E+18,158.2475442,18.20035902,17.79296,16.84149,16.51705,16.38773,16.3586,2.91738E+18,STAR,-6.80E-05
1.23767E+18,115.1784074,18.0172538,19.53513,18.09859,17.57488,17.37919,17.28924,3.25393E+18,STAR,9.02E-05
1.23766E+18,221.8517889,41.49550129,18.72905,17.52894,17.00617,16.80628,16.71027,3.8349E+18,STAR,-0.00066304
1.23767E+18,329.0543734,44.38301671,19.50445,17.39849,16.42933,15.99431,15.74336,2.87788E+18,STAR,-0.000276921
1.23766E+18,216.304049,9.024006521,19.10995,18.22215,18.24292,17.78769,17.721,3.73027E+18,STAR,-0.000516977
1.23766E+18,49.88306627,0.016546234,18.81164,17.37667,16.80159,16.56303,16.45666,3.58388E+18,STAR,1.43E-05
1.23767E+18,71.96497741,22.02783606,18.45219,16.96198,16.23566,15.92132,15.71727,3.01868E+18,STAR,-0.000105968
1.23767E+18,44.36982943,-0.617329546,17.79232,16.57784,16.16745,15.93758,15.94718,1.70239E+18,STAR,8.28E-05
1.23766E+18,148.8412917,32.47594712,18.66902,17.48906,17.64112,17.79854,17.90055,2.1945E+18,STAR,-0.000319415
1.23767E+18,0.754218964,23.90686134,16.80467,15.35848,14.67772,14.3826,14.23696,3.1537E+18,STAR,8.20E-05
1.23766E+18,341.1527194,14.37289166,18.73085,17.38148,16.88399,16.69976,16.61723,2.13037E+18,STAR,6.47E-05
1.23766E+18,117.2009997,27.52490189,19.27689,18.32566,17.9497,17.78602,17.75221,1.1581E+19,STAR,-0.000296558
1.23767E+18,57.73946206,10.91592353,17.57432,16.32883,15.89939,15.72593,15.63555,3.01642E+18,STAR,-0.000113566
1.23766E+18,230.4163141,29.57751301,16.93261,15.77092,15.70289,15.69335,15.75045,1.8578E+18,STAR,-5.95E-05
1.23766E+18,241.2565558,48.72368597,18.56635,17.42388,17.01948,16.8944,16.81623,7.00392E+17,STAR,-0.000343618
1.23766E+18,64.94363626,28.82866646,19.362,17.57637,16.71459,16.34191,16.09354,1.40863E+18,STAR,-0.000120416
1.23768E+18,18.53867594,33.90779969,18.80604,17.85229,17.48218,17.3256,17.30968,8.69535E+18,STAR,-0.000259698
1.23766E+18,252.1846249,21.08628077,16.23693,15.0204,14.98971,15.03691,15.10203,1.76668E+18,STAR,-0.000630944
1.23767E+18,130.1556058,21.87705094,17.84801,16.79523,16.56627,16.50632,16.51541,3.79768E+18,STAR,1.50E-05
1.23766E+18,193.5188681,46.98568494,19.49765,18.63636,18.34093,18.2121,18.20031,3.79095E+18,STAR,-0.001004098
1.23766E+18,159.5930918,37.35332981,18.19622,18.09942,18.3079,18.51003,18.75212,5.21754E+18,STAR,0.000232637
1.23767E+18,201.4073063,25.61925484,18.82902,17.73662,17.30676,17.18283,17.12845,2.99956E+18,STAR,0.000121398
1.23765E+18,221.1598035,3.747402928,19.14,18.13985,17.78779,17.67647,17.65009,6.60949E+17,STAR,-0.000209204
1.23766E+18,135.9811594,38.47298916,19.51807,17.07006,15.89454,15.43902,15.184,3.54558E+18,STAR,-0.000172273
1.23767E+18,169.9625832,18.99218398,16.7746,15.18693,14.61859,14.4625,14.40119,3.21672E+18,STAR,-9.01E-05
1.23768E+18,74.41759962,-4.097483064,19.52723,17.28887,16.35043,16.01097,15.83963,3.51635E+18,STAR,3.69E-05
1.23765E+18,148.508948,4.390575972,19.45944,19.03313,19.08138,19.18369,19.46772,5.40326E+18,STAR,0.000142991
1.23766E+18,198.0983256,39.5724266,19.23712,18.269,17.88081,17.75184,17.69224,9.95197E+18,STAR,0.000410895
1.23767E+18,130.4390064,10.10206575,19.5367,18.5801,18.19976,18.03285,17.98348,5.95275E+18,STAR,0.001272675
1.23768E+18,24.34787357,19.71191572,19.29487,18.28948,17.88674,17.7312,17.65994,8.58861E+18,STAR,-0.00033431
1.23767E+18,180.5615758,29.71611535,18.41135,17.16382,16.66323,16.43253,16.30197,3.58152E+18,STAR,0.00015043
1.23767E+18,18.86694404,23.13056993,19.25658,18.25366,17.95678,17.81255,17.7922,8.64811E+18,STAR,4.33E-05
1.23766E+18,250.5583246,19.28048106,18.84507,17.85036,17.50636,17.34234,17.30336,4.7097E+18,STAR,-0.00045963
1.23767E+18,179.6573101,8.092004515,17.41876,16.46119,16.19144,16.09991,16.08319,1.82743E+18,STAR,-0.000188495
1.23768E+18,23.94947465,20.58456235,18.70247,17.78291,17.49352,17.40498,17.39763,8.15958E+18,STAR,-0.000717729
1.23766E+18,176.1590815,36.6653687,18.2877,17.36047,17.14604,17.07123,17.11032,9.98912E+18,STAR,0.000159915
1.23767E+18,342.7063924,31.45493897,16.43528,15.31521,15.18561,15.16402,15.19589,2.95113E+18,STAR,-0.000681289
1.23767E+18,50.6760493,6.225685136,18.39668,17.03195,16.4705,16.23145,16.09642,2.62795E+18,STAR,-8.75E-05
1.23767E+18,246.5272101,12.66467906,19.40386,18.21653,18.09034,18.0221,18.02053,2.84868E+18,STAR,-0.000351626
1.23766E+18,234.5497364,34.47141819,18.34389,17.44054,17.19445,17.82631,17.07527,5.6003E+18,STAR,-0.000658361
