objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23767E+18,124.841145,14.69959192,19.286,18.91733,18.8312,18.98707,18.91578,2.55582E+18,QSO,0.8848902
1.23766E+18,199.6833467,50.64189517,19.57267,19.39247,19.38356,19.18684,19.2659,8.36903E+18,QSO,1.565286
1.23767E+18,238.5520278,14.75917784,17.79826,17.49358,17.4088,17.38625,17.28098,2.83847E+18,QSO,0.7801861
1.23767E+18,245.2662531,42.07990899,18.80415,18.35723,18.07249,17.77188,17.7233,6.7949E+18,QSO,1.550375
1.23766E+18,187.271396,42.57493061,18.75888,18.37629,17.89174,17.4279,17.40665,1.63496E+18,QSO,0.1376694
1.23766E+18,225.3577603,6.701962774,19.12391,18.52612,18.43794,18.44755,18.27472,5.4685E+18,QSO,2.455211
1.23766E+18,112.6585297,42.40570577,18.66217,18.52169,18.30885,18.30068,18.24885,2.09981E+18,QSO,1.112172
1.23766E+18,220.5732396,11.90959356,19.54773,19.48886,19.16059,19.10628,19.15726,1.92759E+18,QSO,1.325618
1.23765E+18,222.2843251,0.140093487,18.46793,18.22657,18.22423,18.08027,18.05953,3.48002E+17,QSO,1.639496
1.23765E+18,38.71431549,-8.668086443,19.45032,19.20077,19.20011,19.08758,19.26757,5.12347E+17,QSO,1.610847
1.23767E+18,144.4656604,15.26170831,18.19781,16.75775,14.56048,15.53845,14.47101,2.90601E+18,QSO,1.443723
1.23768E+18,15.2452576,18.42650081,19.49289,19.42863,19.31352,18.94785,18.9548,8.58277E+18,QSO,1.801046
1.23766E+18,218.6957934,53.68068615,19.57945,19.23614,19.43335,19.25172,19.17126,1.49312E+18,QSO,0.5074175
1.23766E+18,154.7218419,35.87288146,19.04226,18.48158,18.405,18.41739,18.17226,5.14313E+18,QSO,2.390646
1.23767E+18,145.6320301,23.60373503,19.18033,18.65418,18.56778,18.64042,18.4326,1.08346E+19,QSO,0.7943663
1.23768E+18,25.16076068,9.258671672,19.28102,18.90547,19.04751,18.77831,18.7207,1.24548E+19,QSO,0.5686399
1.23768E+18,4.955571021,30.39969956,18.77694,18.75638,18.69873,18.5493,18.37521,8.71691E+18,QSO,1.956122
1.23766E+18,237.7380703,9.253717465,18.92243,18.59736,18.34952,18.19998,18.00496,5.86614E+18,QSO,1.945577
1.23768E+18,351.0795659,20.93983247,19.45534,19.24859,19.00875,18.88555,18.43176,8.56363E+18,QSO,0.3397473
1.23768E+18,29.40518637,4.162226486,19.40769,19.31576,19.12592,19.26383,19.33759,9.83837E+18,QSO,0.9881379
1.23766E+18,183.1507289,7.143005815,18.44986,18.34776,18.29254,18.46528,18.47328,1.82851E+18,QSO,0.9081059
1.23768E+18,339.9315587,24.89342734,19.58924,19.02004,18.98994,18.80016,18.32762,8.61674E+18,QSO,2.232349
1.23766E+18,193.0370918,13.57577057,18.90714,18.67793,18.68343,18.81377,18.70236,1.99286E+18,QSO,0.8875045
1.23768E+18,353.3876302,26.11219686,19.07372,18.8926,18.71654,18.68977,18.63426,8.67058E+18,QSO,1.158936
1.23766E+18,197.5963712,40.03112401,19.12766,18.90427,18.63596,18.59644,18.5668,2.35102E+18,QSO,1.188738
1.23766E+18,216.17184,46.81309611,18.66161,18.60775,18.60943,18.37626,18.37891,1.44919E+18,QSO,1.782207
1.23765E+18,255.9764673,40.21187695,19.52434,19.15302,19.07544,18.91519,18.64865,6.82637E+18,QSO,2.181931
1.23768E+18,34.31358302,-3.536905754,18.56158,18.07325,18.10596,18.08616,18.08087,8.87799E+18,QSO,0.7000666
1.23768E+18,31.11911551,-3.170464694,18.68745,18.60074,18.55911,18.51318,17.98443,8.82491E+18,QSO,0.3597401
1.23766E+18,164.1333876,43.01553747,18.9326,18.92227,18.78712,18.74767,18.32831,9.41145E+18,QSO,0.3174669
1.23765E+18,224.6572904,61.24000983,19.46408,19.3891,19.10488,19.02123,18.89368,6.8803E+17,QSO,1.13362
1.23766E+18,135.7104466,40.05875608,19.04037,18.44372,18.43589,18.42847,18.22957,5.18486E+18,QSO,2.43138
1.23766E+18,247.0278669,43.67493655,17.86193,17.74055,17.60597,17.64366,17.64391,6.7893E+18,QSO,1.021325
1.23766E+18,240.6224327,33.10839587,18.48804,18.33356,18.33873,18.15868,18.17587,1.59656E+18,QSO,1.858913
1.23768E+18,358.8356994,22.13119342,19.30763,19.52277,19.07575,19.08261,19.07317,8.5535E+18,QSO,1.363742
1.23765E+18,317.7608622,10.8439931,19.50306,19.51937,19.4626,19.16082,19.11621,8.19773E+17,QSO,1.89765
1.23767E+18,245.7095776,42.3757902,18.67205,18.38735,18.26726,18.19385,18.00549,6.79488E+18,QSO,2.108837
1.23766E+18,130.796378,4.438778272,19.42869,18.81353,18.75887,18.74561,18.52367,4.2888E+18,QSO,2.533863
1.23766E+18,8.856233003,-3.919691236,17.84271,17.73293,17.58068,17.63765,17.59113,1.05161E+19,QSO,0.9711191
1.23765E+18,253.20802,40.38613742,18.97662,18.60876,18.35479,18.13953,17.98901,9.60414E+18,QSO,1.464499
1.23765E+18,136.1822144,53.45445271,18.5585,18.42843,18.23598,18.20103,18.29979,5.05537E+17,QSO,1.312054
1.23766E+18,195.775831,61.57667203,19.54065,19.45638,19.3179,18.98481,19.03037,8.81643E+17,QSO,1.738315
1.23767E+18,218.2232884,22.74174703,18.96008,18.90677,18.93935,18.69285,18.47254,2.40496E+18,QSO,1.954215
1.23765E+18,227.0040106,3.275650595,19.52766,18.86172,18.86102,18.84717,18.64342,5.37739E+18,QSO,2.520508
1.23765E+18,216.7356124,60.48423084,18.36032,17.86237,17.95279,17.82949,17.88238,6.83478E+17,QSO,0.6230466
1.23766E+18,146.3408159,63.62806335,19.45855,19.18509,18.77925,18.65302,18.69619,2.01312E+18,QSO,1.181872
1.23767E+18,136.1847379,23.56502453,18.06354,17.40271,17.29314,17.00038,16.72935,1.07987E+19,QSO,2.257069
1.23766E+18,231.0691822,27.77859922,19.13132,18.54111,17.73699,17.23778,16.99096,2.07842E+18,QSO,0.19976
1.23765E+18,81.29995251,0.732651435,19.3174,18.97724,18.28066,17.8095,17.57444,8.17523E+18,QSO,0.2379307
1.23765E+18,155.1937252,2.374024407,19.46688,19.02797,18.58334,18.50702,18.53793,5.66461E+17,QSO,1.257182
